epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1038.41,0.25774,1.41408,1.01901,0.99902,1,0.995,0.98638,0.20636,0.81827,0.59389,0.00066,0.00066,0.00066
2,2080.05,0.15856,0.55472,0.89856,0.99888,1,0.995,0.98713,0.41388,0.4897,0.55616,0.00119533,0.00119533,0.00119533
3,3104.13,0.13969,0.34395,0.88169,0.99887,1,0.995,0.995,0.21496,0.26484,0.58318,0.00159865,0.00159865,0.00159865
4,4113.66,0.11484,0.22675,0.86584,0.99887,1,0.995,0.995,0.15785,0.25149,0.49998,0.001406,0.001406,0.001406
5,5163.49,0.10022,0.16998,0.86535,0.99884,1,0.995,0.995,0.13027,0.20541,0.50268,0.001208,0.001208,0.001208
6,6254.61,0.08674,0.14025,0.85926,0.99887,1,0.995,0.995,0.16772,0.2464,0.52377,0.00101,0.00101,0.00101
7,7293.03,0.07063,0.1134,0.85213,0.9989,1,0.995,0.995,0.1067,0.16046,0.47121,0.000812,0.000812,0.000812
8,8326.88,0.05679,0.0986,0.84806,0.99889,1,0.995,0.995,0.12366,0.15727,0.47102,0.000614,0.000614,0.000614
9,9345.99,0.04638,0.08108,0.83809,1,1,0.995,0.995,0.08666,0.14563,0.46133,0.000416,0.000416,0.000416
10,10365.2,0.03698,0.07001,0.84275,1,1,0.995,0.995,0.08655,0.13923,0.46236,0.000218,0.000218,0.000218
