source_path,destination_path,source_sha256,destination_sha256,file_size,status,verification
C:\Users\NIrmit\Desktop\Optimize\src\recommendation\__init__.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\ai\process_parameter_optimization\src\__init__.py,4D3445ED86A9A4B31415F96A738C02BFC0B13755E49F9F1C99101AF5CDF167BF,4D3445ED86A9A4B31415F96A738C02BFC0B13755E49F9F1C99101AF5CDF167BF,38,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\src\recommendation\candidate_generator.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\ai\process_parameter_optimization\src\candidate_generator.py,D1DD8BE141D17CA77F9C3D081ED8F732A571106E7647A3388B57183A9E482A57,D1DD8BE141D17CA77F9C3D081ED8F732A571106E7647A3388B57183A9E482A57,1194,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\src\recommendation\constraints.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\ai\process_parameter_optimization\src\constraints.py,40F5B8C6D813A76E56DACFD9A69058949719B8C4A5B8AFA086EDF5A07EBF68D8,40F5B8C6D813A76E56DACFD9A69058949719B8C4A5B8AFA086EDF5A07EBF68D8,1380,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\src\recommendation\scoring.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\ai\process_parameter_optimization\src\scoring.py,0E2EAFEA0562547307F0B773EDB702C4A2522018B0D4118009D0BDDC05E015B6,0E2EAFEA0562547307F0B773EDB702C4A2522018B0D4118009D0BDDC05E015B6,2689,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\src\recommendation\recommender.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\ai\process_parameter_optimization\src\recommender.py,E01E6CC198F128D89432E4D50A6C7E00ADF750B7D6B805E88C21886F721DC742,E01E6CC198F128D89432E4D50A6C7E00ADF750B7D6B805E88C21886F721DC742,3000,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\models\final\constrained_recommender.pkl,C:\Users\NIrmit\Desktop\SIH\SIH-2026\models\process_parameter_optimization\constrained_recommender.pkl,C1497F54FE34AAD59501158854EB49FDF6559595C21A7C8ADA6154E8731A5D04,C1497F54FE34AAD59501158854EB49FDF6559595C21A7C8ADA6154E8731A5D04,3212,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\models\final\constrained_recommender.pt,C:\Users\NIrmit\Desktop\SIH\SIH-2026\models\process_parameter_optimization\constrained_recommender.pt,0B36F0B7C84FA8667A62729AC1D8C08FA87DDC52763C4D31D89C15637F316276,0B36F0B7C84FA8667A62729AC1D8C08FA87DDC52763C4D31D89C15637F316276,4941,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\models\final\constrained_recommender.pth,C:\Users\NIrmit\Desktop\SIH\SIH-2026\models\process_parameter_optimization\constrained_recommender.pth,0B36F0B7C84FA8667A62729AC1D8C08FA87DDC52763C4D31D89C15637F316276,0B36F0B7C84FA8667A62729AC1D8C08FA87DDC52763C4D31D89C15637F316276,4941,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\models\final\parameter_configurations.csv,C:\Users\NIrmit\Desktop\SIH\SIH-2026\config\parameter_configurations.csv,38A050D5BAFC0CF1E11610E8173C6ECB36F20C177375B5F8D163AAB32BA4578F,38A050D5BAFC0CF1E11610E8173C6ECB36F20C177375B5F8D163AAB32BA4578F,360,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\docs\recommendation_contract.json,C:\Users\NIrmit\Desktop\SIH\SIH-2026\config\recommendation_contract.json,4450D642384E649FF10ED935BC50B471261F6267AB9BBF10F91C6D41BCD28AD7,4450D642384E649FF10ED935BC50B471261F6267AB9BBF10F91C6D41BCD28AD7,3359,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\docs\RECOMMENDATION_INTEGRATION.md,C:\Users\NIrmit\Desktop\SIH\SIH-2026\docs\RECOMMENDATION_INTEGRATION.md,EF60BC5717D188B58670564D63DCC2DAB4F0BCC726EE126120ECD96C2837B675,EF60BC5717D188B58670564D63DCC2DAB4F0BCC726EE126120ECD96C2837B675,3712,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\examples\recommendation_integration_example.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\examples\recommendation_integration_example.py,5E89DB68714247541C058993B62653B414EBE4A532959AC4197C0AA5ACD364B2,5E89DB68714247541C058993B62653B414EBE4A532959AC4197C0AA5ACD364B2,2376,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\scripts\final_recommendation_test.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\tests\final_recommendation_test.py,DC8C3BC96249CA1323645A66352DABEFDE3FDA5FCAD8D9F933E6E492FBC036F6,DC8C3BC96249CA1323645A66352DABEFDE3FDA5FCAD8D9F933E6E492FBC036F6,934,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\tests\test_phase10_6_scoring.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\tests\test_phase10_6_scoring.py,5E19859DCEB5826F52129C0A76B6B27CDF0A2FC2AE22D2042E3DA5E16D18E418,5E19859DCEB5826F52129C0A76B6B27CDF0A2FC2AE22D2042E3DA5E16D18E418,1118,TRANSFERRED,PASS
C:\Users\NIrmit\Desktop\Optimize\tests\test_phase9_recommendation.py,C:\Users\NIrmit\Desktop\SIH\SIH-2026\tests\test_phase9_recommendation.py,8C164552F216D15750C91BED70C45AABA526E26731FD70DD33D64AD68EDDE3DC,8C164552F216D15750C91BED70C45AABA526E26731FD70DD33D64AD68EDDE3DC,3048,TRANSFERRED,PASS
