Set1 download attempt: FAILED at 2026-08-14 11:04:01.458398
Set1 download attempt: FAILED at 2026-08-14 11:04:04.046315
Set1 download attempt: FAILED at 2026-08-14 11:04:06.903778
Set1 download attempt: FAILED at 2026-08-14 11:05:57.195466
Set1 download attempt: FAILED at 2026-08-14 11:10:11.463838
Set1 download attempt: FAILED at 2026-08-14 11:12:14.885893
Set1 download attempt: FAILED at 2026-08-14 11:13:07.794038
Set1 download attempt: FAILED at 2026-08-14 11:13:43.714737
Set1 download attempt: FAILED at 2026-08-14 11:14:22.762967
Set1 download attempt: FAILED at 2026-08-14 11:15:09.561266
Set1 download attempt: FAILED at 2026-08-14 11:15:55.789245
Set1 download attempt: FAILED at 2026-08-14 11:16:44.784295
Set1 download attempt: FAILED at 2026-08-14 11:17:19.805883
Set1 download attempt: FAILED at 2026-08-14 11:17:50.231417
Set1 download attempt: FAILED at 2026-08-14 11:18:36.059120
Set1 download attempt: FAILED at 2026-08-14 11:19:05.371301
Set1 download attempt: FAILED at 2026-08-14 11:19:40.922241
Set1 download attempt: FAILED at 2026-08-14 11:20:15.714270
Set1 download (Direct) attempt: FAILED at 2026-08-14 11:20:50.227903
Set1 download (Verified) attempt: SUCCESS at 2026-08-14 11:22:50.855730
Set1 download (Verified) attempt: SUCCESS at 2026-08-14 11:25:36.960478
Set2 download (Verified) attempt: SUCCESS at 2026-08-14 11:26:20.056578
Set3 download (Verified) attempt: SUCCESS at 2026-08-14 11:27:04.487759
Set4 download (Verified) attempt: SUCCESS at 2026-08-14 11:27:47.672791
Set5 download (Verified) attempt: SUCCESS at 2026-08-14 11:28:18.710594
Set6 download (Verified) attempt: SUCCESS at 2026-08-14 11:29:31.918674
Set7 download (Verified) attempt: SUCCESS at 2026-08-14 11:30:16.531621
Set8 download (Verified) attempt: SUCCESS at 2026-08-14 11:31:02.060113
Set9 download (Verified) attempt: SUCCESS at 2026-08-14 11:31:43.559726
Set10 download (Verified) attempt: SUCCESS at 2026-08-14 11:32:24.797793
Set1 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:23.837274
Set2 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:23.995930
Set3 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.000639
Set4 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.012711
Set5 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.032204
Set6 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.040928
Set7 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.045384
Set8 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.049957
Set9 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.054363
Set10 download (Verified) attempt: SUCCESS at 2026-08-14 11:50:24.058825
Set11 download (Verified) attempt: SUCCESS at 2026-08-14 11:51:12.404768
Set12 download (Verified) attempt: SUCCESS at 2026-08-14 11:51:39.232531
Set13 download (Verified) attempt: SUCCESS at 2026-08-14 11:52:12.690050
Set14 download (Verified) attempt: SUCCESS at 2026-08-14 11:53:33.229646
Set15 download (Verified) attempt: SUCCESS at 2026-08-14 11:54:09.834824
Set16 download (Verified) attempt: SUCCESS at 2026-08-14 11:55:10.073469
Set17 download (Verified) attempt: SUCCESS at 2026-08-14 11:56:18.359435
